\\ Названия способностей: \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"ability_attribute_bonus"	"Бонус к атрибутам"
"ability_abaddon_frostmourne_move_speed_pct"	"%ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_abaddon_frostmourne_move_speed_pct"	"%MOVE SPEED BONUS:"

"ability_abaddon_borrowed_time"	"Borrowed Time"
"[english]ability_abaddon_borrowed_time"	"Borrowed Time"

"ability_abaddon_borrowed_time_Description"	"Обращает весь получаемый урон в лечение. Применение снимает большинство отрицательных эффектов. Если способность готова, то она сработает автоматически, как только здоровье владельца упадёт ниже %hp_threshold%.\n\nУлучшается с Aghanim's Scepter.\n\nТИП РАЗВЕИВАНИЯ: сильное"
"[english]ability_abaddon_borrowed_time_Description"	"When activated, all damage dealt to you will heal instead of harm. Most negative buffs will also be removed. If the ability is not on cooldown, it will automatically activate if your health falls below %hp_threshold%.\n\nUpgradable by Aghanim's Scepter.\n\nDISPEL TYPE: Strong Dispel"

"ability_abaddon_borrowed_time_Lore"	"Эта сила, самая противоестественная из всех даров купели Аверно, бросает вызов пониманию смертных. Что должно ранить — лечит, а что должно убить — даёт свежие силы."
"[english]ability_abaddon_borrowed_time_Lore"	"The most unnatural of all the gifts of the Font of Avernus, this power defies mortal understanding.  What should hurt, instead heals; and what should kill gives strength anew."

"ability_abaddon_borrowed_time_hp_threshold"	"ПОРОГ ЗДОРОВЬЯ:"
"[english]ability_abaddon_borrowed_time_hp_threshold"	"HEALTH THRESHOLD:"

"ability_abaddon_borrowed_time_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_abaddon_borrowed_time_duration"	"DURATION:"

"ability_abaddon_borrowed_time_duration_scepter"	"ДЛИТЕЛЬНОСТЬ СО СКИПЕТРОМ:"
"[english]ability_abaddon_borrowed_time_duration_scepter"	"SCEPTER DURATION:"

"ability_abaddon_borrowed_time_aghanim_description"	"Увеличивает длительность. Во время действия автоматически применяет способность Mist Coil на союзников в радиусе %redirect_range_scepter%, когда они получают более %ally_threshold_scepter% урона."
"[english]ability_abaddon_borrowed_time_aghanim_description"	"Increases duration. While Borrowed Time is active, anytime an ally takes more than %ally_threshold_scepter% damage while within %redirect_range_scepter% range of Abaddon, an individual Mist Coil will automatically fire towards that ally."

"ability_tusk_snowball_stun_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"[english]ability_tusk_snowball_stun_duration"	"STUN DURATION:"

"ability_bristleback_warpath_max_stacks"	"МАКС. ЭФФЕКТОВ:"
"[english]ability_bristleback_warpath_max_stacks"	"MAX STACKS:"

"ability_elder_titan_echo_stomp"	"Echo Stomp"
"[english]ability_elder_titan_echo_stomp"	"Echo Stomp"

"ability_elder_titan_echo_stomp_Description"	"Герой и его дух сотрясают землю, нанося окружающим противникам урон и вводя их в состояние сна. Герой наносит этой способностью физический урон, а его дух — магический. Сон прервётся, если противники получат какой-либо урон.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_elder_titan_echo_stomp_Description"	"Elder Titan and his Astral Spirit both stomp the ground, damaging and knocking nearby enemy units unconscious around their locations.  The Elder Titan stomp deals physical damage, while the Spirit stomp deals magical damage.\n\nUpgradable by Aghanim's Scepter."

"ability_elder_titan_echo_stomp_Lore"	"Мощь созидания до сих пор отражается эхом в топоте титана."
"[english]ability_elder_titan_echo_stomp_Lore"	"The force of creation still echoes in the stomp of the Titan."

"ability_elder_titan_echo_stomp_cast_time"	"ВРЕМЯ ПРИМЕНЕНИЯ:"
"[english]ability_elder_titan_echo_stomp_cast_time"	"CAST TIME:"

"ability_elder_titan_echo_stomp_radius"	"РАДИУС:"
"[english]ability_elder_titan_echo_stomp_radius"	"RADIUS:"

"ability_elder_titan_echo_stomp_stomp_damage"	"УРОН:"
"[english]ability_elder_titan_echo_stomp_stomp_damage"	"STOMP DAMAGE:"

"ability_elder_titan_echo_stomp_sleep_duration"	"ДЛИТЕЛЬНОСТЬ СНА:"
"[english]ability_elder_titan_echo_stomp_sleep_duration"	"SLEEP DURATION:"

"ability_elder_titan_echo_stomp_spirit"	"Echo Stomp"
"[english]ability_elder_titan_echo_stomp_spirit"	"Echo Stomp"

"ability_elder_titan_echo_stomp_spirit_Description"	"Герой и его дух сотрясают землю, нанося окружающим противникам урон и вводя их в состояние сна. Герой наносит этой способностью физический урон, а его дух — магический. Сон прервётся, если противники получат какой-либо урон."
"[english]ability_elder_titan_echo_stomp_spirit_Description"	"Elder Titan and his Astral Spirit both stomp the ground, damaging and knocking nearby enemy units unconscious around their locations.  The Elder Titan stomp deals physical damage, while the Spirit stomp deals magical damage.  Unconscious enemies will wake if they take damage."

"ability_elder_titan_echo_stomp_spirit_Lore"	"Мощь созидания до сих пор отражается эхом в топоте титана."
"[english]ability_elder_titan_echo_stomp_spirit_Lore"	"The force of creation still echoes in the stomp of the Titan."

"ability_elder_titan_echo_stomp_spirit_cast_time"	"ВРЕМЯ ПРИМЕНЕНИЯ:"
"[english]ability_elder_titan_echo_stomp_spirit_cast_time"	"CAST TIME:"

"ability_elder_titan_echo_stomp_spirit_radius"	"РАДИУС:"
"[english]ability_elder_titan_echo_stomp_spirit_radius"	"RADIUS:"

"ability_elder_titan_echo_stomp_spirit_stomp_damage"	"УРОН:"
"[english]ability_elder_titan_echo_stomp_spirit_stomp_damage"	"STOMP DAMAGE:"

"ability_elder_titan_echo_stomp_spirit_sleep_duration"	"ДЛИТЕЛЬНОСТЬ СНА:"
"[english]ability_elder_titan_echo_stomp_spirit_sleep_duration"	"SLEEP DURATION:"

"ability_elder_titan_ancestral_spirit"	"Astral Spirit"
"[english]ability_elder_titan_ancestral_spirit"	"Astral Spirit"

"ability_elder_titan_ancestral_spirit_Description"	"Герой призывает астрального духа, который наносит урон каждому врагу, сквозь которого проходит. При воссоединении с владельцем дух дарует ему дополнительные урон, броню и скорость передвижения за каждого задетого им врага.\n\nДух обладает способностями Echo Stomp, Return Spirit и Natural Order."
"[english]ability_elder_titan_ancestral_spirit_Description"	"Elder Titan sends forth his Astral Spirit, damaging any units it passes through.  When the spirit rejoins the Titan, it grants bonus damage and movement speed for each unit it passed through.\n\nThe Astral Spirit possesses the Echo Stomp, Return Spirit, and Natural Order abilities."

"ability_elder_titan_ancestral_spirit_Lore"	"Так же, как и четыре предвечных, титан существует во всех мирах одновременно и может призывать другие свои сущности, когда ему это нужно."
"[english]ability_elder_titan_ancestral_spirit_Lore"	"Like the four fundamentals, Elder Titan exists across all planes at once and can draw other aspects of himself to assist in times of need."

"ability_elder_titan_ancestral_spirit_spirit_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_elder_titan_ancestral_spirit_spirit_duration"	"DURATION:"

"ability_elder_titan_ancestral_spirit_buff_duration"	"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
"[english]ability_elder_titan_ancestral_spirit_buff_duration"	"BUFF DURATION:"

"ability_elder_titan_ancestral_spirit_pass_damage"	"УРОН:"
"[english]ability_elder_titan_ancestral_spirit_pass_damage"	"DAMAGE:"

"ability_elder_titan_ancestral_spirit_radius"	"РАДИУС:"
"[english]ability_elder_titan_ancestral_spirit_radius"	"RADIUS:"

"ability_elder_titan_ancestral_spirit_move_pct_creeps"	"%БОНУС К СКОРОСТИ (КРИПЫ):"
"[english]ability_elder_titan_ancestral_spirit_move_pct_creeps"	"%BONUS SPEED (CREEPS):"

"ability_elder_titan_ancestral_spirit_move_pct_heroes"	"%БОНУС К СКОРОСТИ (ГЕРОИ):"
"[english]ability_elder_titan_ancestral_spirit_move_pct_heroes"	"%BONUS SPEED (HEROES):"

"ability_elder_titan_ancestral_spirit_damage_creeps"	"БОНУС К УРОНУ (КРИПЫ):"
"[english]ability_elder_titan_ancestral_spirit_damage_creeps"	"BONUS DAMAGE (CREEPS):"

"ability_elder_titan_ancestral_spirit_damage_heroes"	"БОНУС К УРОНУ (ГЕРОИ):"
"[english]ability_elder_titan_ancestral_spirit_damage_heroes"	"BONUS DAMAGE (HEROES):"

"ability_elder_titan_return_spirit"	"Return Astral Spirit"
"[english]ability_elder_titan_return_spirit"	"Return Astral Spirit"

"ability_elder_titan_return_spirit_Description"	"Возвращает духа обратно к герою."
"[english]ability_elder_titan_return_spirit_Description"	"Returns the Astral Spirit to Elder Titan."

"ability_elder_titan_natural_order"	"Natural Order"
"[english]ability_elder_titan_natural_order"	"Natural Order"

"ability_elder_titan_natural_order_Description"	"Приводит сущность врагов к начальному небытию, снижая их базовый показатель брони и сопротивление магическому урону. Броню уменьшает сам герой, а сопротивление магии — дух от способности Astral Spirit."
"[english]ability_elder_titan_natural_order_Description"	"Reduces all elements to their basic levels, removing base armor and magic damage resistance from nearby enemy units. The armor reduction is centered around the hero, while the magic armor reduction is centered around Astral Spirit."

"ability_elder_titan_natural_order_Lore"	"Титан приводит всё к первородному состоянию."
"[english]ability_elder_titan_natural_order_Lore"	"As it was at the beginning, Elder Titan makes it so again."

"ability_elder_titan_natural_order_radius"	"РАДИУС:"
"[english]ability_elder_titan_natural_order_radius"	"RADIUS:"

"ability_elder_titan_natural_order_armor_reduction_pct"	"%СНИЖЕНИЕ БАЗОВОЙ БРОНИ:"
"[english]ability_elder_titan_natural_order_armor_reduction_pct"	"%BASE ARMOR REDUCTION:"

"ability_elder_titan_natural_order_magic_resistance_pct"	"%СНИЖЕНИЕ СОПРОТИВЛЕНИЯ:"
"[english]ability_elder_titan_natural_order_magic_resistance_pct"	"%BASE RESIST REDUCTION:"

"ability_elder_titan_earth_splitter"	"Earth Splitter"
"[english]ability_elder_titan_earth_splitter"	"Earth Splitter"

"ability_elder_titan_earth_splitter_Description"	"Герой раскалывает землю, посылая трещину в выбранном направлении. Через 3 секунды разлом схлопывается, замедляя всех попавшихся врагов и нанося им урон, зависящий от их максимального показателя здоровья. Половина урона будет физической, половина — магической."
"[english]ability_elder_titan_earth_splitter_Description"	"Sends forth a jagged crack in front of Elder Titan. After 3 seconds, the crack implodes, slowing movement while dealing damage to each enemy based on their maximum life. Half of the damage dealt is Magical damage, while the other half is Physical damage."

"ability_elder_titan_earth_splitter_Lore"	"Титан разрывает порознь всё, что когда-то создал."
