\\ Названия всех модифайеров \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"modifier_life_stealer_infest"	"Паразитирует носителя"
"[english]modifier_phoenix_sun_ray_Description"	"Firing Sun Ray beam."

"modifier_phoenix_supernova_hiding"	"Sun Form
"[english]modifier_phoenix_supernova_hiding"	"Sun Form"

"modifier_phoenix_supernova_hiding_Description"	"Обжигает врагов, прежде чем возродится."
"[english]modifier_phoenix_supernova_hiding_Description"	"Burning enemies before being reborn."

"modifier_phoenix_sun"	"Sun Form"
"[english]modifier_phoenix_sun"	"Sun Form"

"modifier_phoenix_sun_Description"	"Обжигает врагов, прежде чем возродится."
"[english]modifier_phoenix_sun_Description"	"Burning enemies before being reborn."

"modifier_phoenix_sun_debuff"	"Солнечный ожог"
"[english]modifier_phoenix_sun_debuff"	"Sun Burn"

"modifier_phoenix_sun_debuff_Description"	"Получает %dMODIFIER_PROPERTY_TOOLTIP% урона в секунду."
"[english]modifier_phoenix_sun_debuff_Description"	"Taking %dMODIFIER_PROPERTY_TOOLTIP% damage per second."

"modifier_terrorblade_reflection_slow"	"Reflection"
"[english]modifier_terrorblade_reflection_slow"	"Reflection"

"modifier_terrorblade_reflection_slow_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, это существо атаковано своей зеркальной копией."
"[english]modifier_terrorblade_reflection_slow_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, and being attacked by Terrorblade's reflection."

"modifier_terrorblade_metamorphosis"	"Metamorphosis
"[english]modifier_terrorblade_metamorphosis"	"Metamorphosis"

"modifier_terrorblade_metamorphosis_Description"	"Мощная демоническая форма с дальней атакой."
"[english]modifier_terrorblade_metamorphosis_Description"	"Powerful demon form with a ranged attack."

"modifier_treant_natures_guise_grace_time"	"Время до снятия Nature's Guise"
"[english]modifier_treant_natures_guise_grace_time"	"Nature's Guise Grace Time"

"modifier_treant_natures_guise_grace_time_Description"	"Эффект Nature's Guise исчезает, если отойти от дерева."
"[english]modifier_treant_natures_guise_grace_time_Description"	"Nature's Guise will be removed when not near a tree."

"modifier_item_pipe_aura"	"Insight Aura"
"[english]modifier_item_pipe_aura"	"Insight Aura"

"modifier_item_pipe_aura_Description"	"Восстанавливает %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% здоровья в секунду."
"[english]modifier_item_pipe_aura_Description"	"Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."

"modifier_vengefulspirit_command_negative_aura_effect"	"Vengeance Aura"
"[english]modifier_vengefulspirit_command_negative_aura_effect"	"Vengeance Aura"

"modifier_vengefulspirit_command_negative_aura_effect_Description"	"Урон уменьшен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%"
"[english]modifier_vengefulspirit_command_negative_aura_effect_Description"	"Damage reduced by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%"

"modifier_shadow_demon_demonic_purge_charge_counter"	"Зарядов Demonic Purge"
"[english]modifier_shadow_demon_demonic_purge_charge_counter"	"Demonic Purge Charges"

"modifier_shadow_demon_demonic_purge_charge_counter_description"	"Заряды восстанавливаются раз в 40 секунд."
"[english]modifier_shadow_demon_demonic_purge_charge_counter_description"	"Charges will replenish 40 seconds after use."

"modifier_ember_spirit_fire_remnant_timer"	"Длительность Fire Remnant"
"[english]modifier_ember_spirit_fire_remnant_timer"	"Fire Remnant Duration"

"modifier_ember_spirit_fire_remnant_timer_Description"	"Fire Remnant исчезнет через 45 секунд."
"[english]modifier_ember_spirit_fire_remnant_timer_Description"	"Fire Remnants expire after 45 seconds."

"modifier_abaddon_borrowed_time_damage_redirect"	"Перенаправление Borrowed Time"
"[english]modifier_abaddon_borrowed_time_damage_redirect"	"Borrowed Time Redirect"

"modifier_abaddon_borrowed_time_damage_redirect_Description"	"35%% всего получаемого урона перенаправляется на Abaddon."
"[english]modifier_abaddon_borrowed_time_damage_redirect_Description"	"35%% of all damage taken is being redirected to Abaddon."

"modifier_aegis_regen"	"Восстановление от Aegis"
"[english]modifier_aegis_regen"	"Aegis Regeneration"

"modifier_aegis_regen_description"	"Aegis of the Immortal исчез. Здоровье и мана героя быстро восстанавливаются."
"[english]modifier_aegis_regen_description"	"The Aegis of the Immortal has expired. Quickly restoring health and mana."

"modifier_backdoor_protection_Description"	"Строение получает меньше урона и быстро восстанавливается от него, если поблизости нет вражеских крипов."
"[english]modifier_backdoor_protection_Description"	"Structure takes reduced damage, and quickly regenerates any damage taken while no enemy creeps are nearby."

"modifier_techies_stasis_trap_stunned"	"Оцепенение от Stasis Trap"
"[english]modifier_techies_stasis_trap_stunned"	"Stasis Trap Root"

"modifier_techies_stasis_trap_stunned_Description"	"Вы нашли одну из ловушек Stasis Trap от Techies!"
"[english]modifier_techies_stasis_trap_stunned_Description"	"You found one of the Techies' Stasis Traps!"

"modifier_backdoor_protection_active_Description"	"Строение получает меньше урона и быстро восстанавливается от него, если поблизости нет вражеских крипов."
"[english]modifier_backdoor_protection_active_Description"	"Structure takes reduced damage, and quickly regenerates any damage taken while no enemy creeps are nearby."

"modifier_techies_land_mines_count"	"Количество мин"
"[english]modifier_techies_land_mines_count"	"Proximity Mines Count"

"modifier_techies_land_mines_count_Description"	"Количество мин, заложенных сейчас."
"[english]modifier_techies_land_mines_count_Description"	"The number of Proximity Mines currently deployed."

"modifier_sven_gods_strength_child"	"Аура от God's Strength"
"[english]modifier_sven_gods_strength_child"	"God's Strength Aura"

"modifier_sven_gods_strength_child_Description"	"Базовый урон увеличен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
"[english]modifier_sven_gods_strength_child_Description"	"Base damage increased by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."

"modifier_bloodseeker_thirst_vision"	"Thirst"
"[english]modifier_bloodseeker_thirst_vision"	"Thirst"

"modifier_bloodseeker_thirst_vision_Description"	"Bloodseeker чувствует ваши увечья и точно знает, где вы."
"[english]modifier_bloodseeker_thirst_vision_Description"	"Bloodseeker senses your injuries, and knows exactly where you are."

"modifier_phantom_lancer_phantom_edge_boost"	"Phantom Rush"
"[english]modifier_phantom_lancer_phantom_edge_boost"	"Phantom Rush"

"modifier_phantom_lancer_phantom_edge_boost_Description"	"Вперед, на врага!"
"[english]modifier_phantom_lancer_phantom_edge_boost_Description"	"Charging the enemy!"

"modifier_riki_blinkstrike_chargecounter"	"Зарядов Blink Strike"
"[english]modifier_riki_blinkstrike_chargecounter"	"Blink Strike Charges"

"modifier_riki_blinkstrike_chargecounter_Description"	"Способность Blink Strike можно применить, если есть заряды."
"[english]modifier_riki_blinkstrike_chargecounter_Description"	"You may cast Blink Strike whenever there is a charge available."

"modifier_sniper_headshot_slow"	"Остановка от Headshot"
"[english]modifier_sniper_headshot_slow"	"Headshot Stop"

"modifier_sniper_headshot_slow_Description"	"Остановлен выстрелом в голову!"
"[english]modifier_sniper_headshot_slow_Description"	"Stopped by Sniper's headshot!"

"modifier_broodmother_spin_web_charge_counter"	"Зарядов паутины"
"[english]modifier_broodmother_spin_web_charge_counter"	"Spin Web Charges"

"modifier_broodmother_spin_web_charge_counter_Description"	"Способность Spin Web можно применить, если есть заряды."
"[english]modifier_broodmother_spin_web_charge_counter_Description"	"You may cast Spin Web whenever there is a charge available."

"modifier_undying_flesh_golem_Description"	"Замедляет окружающих существ и увеличивает получаемый ими урон."
"[english]modifier_undying_flesh_golem_Description"	"Slowing surrounding units and increasing any damage they take."

"modifier_item_butterfly_extra"	"Flutter"
"[english]modifier_item_butterfly_extra"	"Flutter"

"modifier_item_butterfly_extra_Description"	"Передвижение ускорено на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_item_butterfly_extra_Description"	"Affected by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% bonus movement speed."

"modifier_item_crimson_guard_extra"	"Guard"
"[english]modifier_item_crimson_guard_extra"	"Guard"

"modifier_item_crimson_guard_extra_Description"	"Получает 2 единицы брони и шанс в 100%% заблокировать 60 единиц урона от ударов."
"[english]modifier_item_crimson_guard_extra_Description"	"Gained 2 armor, and a 100%% chance to block 60 damage from incoming attacks."

"modifier_item_crimson_guard_nostack"	"Перезарядка Guard"
"[english]modifier_item_crimson_guard_nostack"	"Guard Cooldown"

"modifier_item_crimson_guard_nostack_Description"	"Способность Guard не действует на существ, на которых ее недавно применяли."
"[english]modifier_item_crimson_guard_nostack_Description"	"Guard will not affect a unit that has recently been protected by Guard."

"modifier_broodmother_spin_web_slowed"	"Замедление от Spin Web"
"[english]modifier_broodmother_spin_web_slowed"	"Spin Web Slow"

"modifier_broodmother_spin_web_slowed_Description"	"Замедлен на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% за получение урона в пределах паутины"
"[english]modifier_broodmother_spin_web_slowed_Description"	"Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% for taking damage while in a web"

"modifier_lone_druid_spirit_bear_attack_check"	"Близость Spirit Bear"
"[english]modifier_lone_druid_spirit_bear_attack_check"	"Spirit Bear Proximity"

"modifier_lone_druid_spirit_bear_attack_check_Description"	"Медведь не сможет атаковать, если отойдёт слишком далеко от владельца. Aghanim's Scepter убирает это ограничение."
"[english]modifier_lone_druid_spirit_bear_attack_check_Description"	"If the Spirit Bear moves too far away from Lone Druid, it will not be able to attack unless Lone Druid carries Aghanim's Scepter."

"modifier_tusk_snowball_movement_friendly"	"SNOWBALL
"[english]modifier_tusk_snowball_movement_friendly"	"SNOWBALL"

"modifier_tusk_snowball_movement_friendly_Description"	"В снежном шаре Tusk."
"[english]modifier_tusk_snowball_movement_friendly_Description"	"Inside Tusk's snowball."

"modifier_tusk_walrus_punch_air_time"	"БАМ!"
"[english]modifier_tusk_walrus_punch_air_time"	"POW!"

"modifier_elder_titan_earth_splitter_scepter"	"Earth Splitter
"[english]modifier_elder_titan_earth_splitter_scepter"	"Earth Splitter"

"modifier_elder_titan_earth_splitter_scepter_Description"	"Замедлен на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% и обезоружен."
"[english]modifier_elder_titan_earth_splitter_scepter_Description"	"Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and disarmed."

"modifier_earthspirit_petrify"	"Enchant Remnant
"[english]modifier_earthspirit_petrify"	"Enchant Remnant"

"modifier_earthspirit_petrify_Description"	"Ненадолго превращен в каменную копию."
"[english]modifier_earthspirit_petrify_Description"	"Temporarily transformed into a Stone Remnant."

"modifier_fountain_aura_Description"	"Быстро восстанавливает здоровье и ману союзников поблизости."
"[english]modifier_fountain_aura_Description"	"Quickly restores Health and Mana of nearby allies."

"modifier_fountain_truesight_aura"	"True Sight
"[english]modifier_fountain_truesight_aura"	"True Sight"

"modifier_fountain_truesight_aura_Description"	"Раскрывает невидимых существ неподалёку."
"[english]modifier_fountain_truesight_aura_Description"	"Reveals nearby invisible units."

"modifier_oracle_fortunes_end_purge"	"Очищение от Fortune's End"
"[english]modifier_oracle_fortunes_end_purge"	"Fortune's End Purge"

"modifier_oracle_fortunes_end_purge_Description"	"Остановлен и очищен от положительных эффектов."
"[english]modifier_oracle_fortunes_end_purge_Description"	"Purged of buffs, and stopped."

"modifier_oracle_fates_edict"	"Fate's Edict"
"[english]modifier_oracle_fates_edict"	"Fate's Edict"

"modifier_oracle_fates_edict_Description"	"Обезоружен, сопротивление маг. урону увеличено на %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%, остальной получаемый урон увеличивается на %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%."
"[english]modifier_oracle_fates_edict_Description"	"Disarmed, magic damage resistance increased by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%, all other incoming damage increased by %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%."

"modifier_oracle_purifying_flames"	"Лечение от Purifying Flames"
"[english]modifier_oracle_purifying_flames"	"Purifying Flames Heal"

"modifier_oracle_purifying_flames_Description"	"Лечение от Purifying Flames."
"[english]modifier_oracle_purifying_flames_Description"	"Being healed by Purifying Flames."

"modifier_item_sphere_target"	"Защита от способностей у Linken's Sphere"
"[english]modifier_item_sphere_target"	"Linken's Sphere Spell Block"

"modifier_item_sphere_target_Description"	"Следующее направленное заклинание будет заблокировано."
"[english]modifier_item_sphere_target_Description"	"The next targeted spell will be blocked."
